Tag,Text
Negative,খুব কাছের কাউকে ভুলে যাওয়ার কোন সংক্ষিপ্ত পথ নেই। প্রতিদিন তাকে মনে পড়তে থাকবে এবং স্মৃতিগুলো কষ্ট দিতে থাকবে।
Negative,আমার মনটা খুব খারাপ । একটা post দিলাম কিন্তু কেউ like দিল না .........
Negative,"প্রকৃতিতে মানুষ বড়ই অসহায় প্রাণী...! নিয়তিকে মেনে নেওয়া ছাড়া, মানুষের আর কিছুই করার থাকে না..!! :( #XX"
Negative,"বাহিরে বৃষ্টি হচ্ছে| বৃষ্টিতে ভিজতে ইচ্ছে করচ্ছে খুব| কিন্তু, ভয় হচ্ছে যদি ঠান্ডা লেগে যায়| তাই ভয় নিয়ে আর ভিজা হলনা| :-( :-( :-("
Negative,তুমি যদি কাউকে কষ্ট দিতে না পারো তাহলে মনে রেখ তোমাকেই তার জন্য এক দিন কষ্ট পেতে হবে । :(
Negative,খুবই অশান্তিতে আছি..... :( মন মেজাজ পুরাই খারাপ....
Negative,"চাওয়া গুলো আমার আজ অদ্ভুত এলোমেলো……… বাস্তবতার নেই যে ছোয়া, অকেজো এক ঝাপসা বোধ :("
Negative,নাহিদ রে দেইখে হিংসা হইতেছে। ৭ টা টিচারের কাছে প্রাইভেট পড়তেছে :(
Negative,"কিউবির মডেম রিটার্ন করতে গেলাম, মাগার আফসোস ডঙ্গল হবার কারনে আমারটা নিলো না :( কিউবির মায়রে বাপ কি ডিসকো কি ডিসকো >:("
Negative,মাথা ব্যাথা... :(
Negative,"অনেক দিন পর গ্রামে আসলাম এসে এখন পুরনো বন্ধুদের কাউকে খুঁজে পাচ্ছি না, সবাই ছিটাবিটা হয়ে গেছে ..:("
Negative,:( নাইজেরিয়ায় বোকো হারামের হামলায় ২৮ শিক্ষার্থী নিহত নাইজেরিয়ার উত্তর-পূর্বের ইয়োবো প্রদেশের একটি কলেজে... http://fb.me/L3yVBKs0
Negative,কাছের মানুষগুলো আজ খুব ব্যস্ত :/ কারও সময় নেই :(
Negative,নিজেই দেখি জ্বর বাধায়ে ফেললাম :(
Negative,অনেক কাজ থাকা সত্ব্যেও যখন ঘুমুতে ইচ্ছে করবে তখন বুঝতে হবে কাজে মন নেই :( আমি শেষ... মহা অলস হয়ে গিয়েছি।
Negative,ফোনে টাকা নাই কি জালা :(
Negative,কি একটা সমস্যা আমি কারোর কোন পষ্টয়ে লাইক কমেন্ট করতে পারছি না কেন????? :(
Negative,"শুধু হ্যালো শব্দটা শুনতে উতলা হতে হয়না , একটু কথা না হলে , রাতে বা বিকেলে ঘুম ভেঙে বুকে কাপন উঠেনা :( :( :("
Negative,এই হইল বিলাই এর সার্ভিস ......... এমনিতে কানেক্ট হইতে ২ দিন লাগে তার উপর সাইট লোড হয়না !! বাল ...... >:( http://fb.me/4niCpEmLA
Negative,সাইন্স চলবে সাইন্সের নিয়মে। ধর্মকে যদি এর মাধ্যমে প্রকাশ করতে চাওয়া হয় তবে তা চরম নির্বুদ্ধিতার পরিচায়ক হবে :(
Negative,ধ্যাত !! — #feeling_sad.
Negative,জীবনে না বলা কথার পাল্লা ভারি সুখের চাইতে দুঃখই তাই বেশী :( :(
Negative,প্রেমে পড়ে যাওয়া খুব খারাপ জিনিস। টেনেও তোলা যায় না; টেনে তুলতে গেলেও উঠতে চায় না।
Negative,হাসতে পারিনা কাঁদতেও পারিনা-বাঁচতে চাইনা মরতেও পারিনা- :(
Negative,না পারলোনা রাতের ঘুম আমাকে হারাতে পারলো না কিন্তু সকালের ঘুম আমাকে ঠিকই হারতে বাধ্য করবে :(
Negative,একদিন তুমি বলেছিলে আমি এখন আর একা নই তুমি আমার সাথে আছো !! কিন্তু আজ তুমি নেই তোমার দেয়া কষ্টগুলো আমার সাথে আছে ... :(
Negative,খুব পেইন এ আছি:-(:-(
Negative,ছুটি দুই'টা বৃথাই গেলো :(
Negative,সারাদিন বৃষ্টিতে ভিজে এখন অবস্থা সেইরাম ফিলিং মাথা ব্যাথা...:(
Negative,তোরা যে যা বলিস ভাই...আমার সোনার হরিণ চাই... আলাদীনের চেরাগ হলেও মন্দ হয় না... কারণ আমার পার্সে এখন দুর্ভিক্ষ চলছে :/ :(
Negative,আমরা কিছু কইলেই দোষ! :-( :-( :-(
Negative,জ্বর এ অবস্থা খারাপ :( :(
Negative,মনটা ভীষণ খারাপ :(
Negative,যা হতে যাচ্ছে :( বহাবহ চিন্তা করা যায় না http://fb.me/M2nf9NVX 
Negative,"ঢাকা জাওয়ার তারিখ পরিবর্তন করলাম, কিছু সমস্যা রয়েই গেছে, সমাধান না করে গিয়েও লাভ নেই :("
Negative,কিউবি রে একটা শ্রেষ্ঠ ধোলায় দেবার দরকার ! স্লো নেট :(
Negative,কিং লিওর জাদুকরী ক্রস কিন্তু পিকের সহজ সুযোগ মিস :( ১৫ মিনিট শেষ - কোন দল গোল এর দেখা পাইনি ।
Negative,উফফ!অল্পের জন্য গোল হল না।ইশ পিকে যদি হেডটা লাগাতো পারতো! :(
Negative,৩ দিন ধরে জ্বর-ঠান্ডা-কাশি লেগে আছে. অবস্থা খুবই খরাপ .. :(
Negative,ইচ্ছে থাকলেই উপায় হয় না।। এই রকম সুড়সুড়ি মার্কা ঘুমের পরিবেশ রেখে স্যারের সাথে মিটিং !!! :-(
Negative,ভুইলাই গেসি আজকে হরতাল!!.:( ক্রিকেট খালা ছিল সকালে :/
Negative,কিচ্ছু কিচ্ছু সময় তোমাকে অনেক বেশি miss করি.... :(
Negative,ঠ্যাং চেগাইয়া নবাবী ঘুম দিছিলাম :/ আফসুস আমার ঘুম কারো সহ্য হয় না :(
Negative,আগের লিখা সবকিছু মুছে ফেলেছি... নতুন কিছু লিখবো এই ভেবেই বসি খাতা-কলম নিয়ে কিন্তু তুমি ছাড়া আমার লিখার মতও কিছু নাই :(
Negative,হৃত্তিক হইবার মন চায় :(
Negative,"ছোট্ট বেলায় অভিমান করলে অনেক কিছু পেতাম, আর এখন অভিমান করলে অনেক কিছু হারাই.. !! :-("
Negative,মাইরালামু >:(
Negative,আমার সব চেয়ে গুরুত্ব পূর্ণ ইমেইল আইডি টি হ্যাঁক !! ফেসবুক আইডি ও হ্যাঁক :(
Negative,"নাই নাই, কেউ নাই.. :("
Negative,"কিছুতে তোমার মনটা আমি বুঝতে পারিনা,এতো চেনা তবু কেন লাগে অচেনা? :("
Negative,"একদিন কান্নার রোল উঠবে আমার বাড়িতে, আমায় নতুন করে দেখতে সবাই আসবে সারি সারিতে . . . :( :( :("
Negative,সমস্যা এর সমাধান জানতে চাই :( http://techtun.es/1aKi1ap 
Negative,"আজ ইন্টারনেট এর মেয়াদ শেষ :( আবার ১২০৮ টাকা পে করতে হবে :( ভাবলাম যে টাকা পয়সার সমস্যা , অল্প টাকায় ক্যাবল... http://fb.me/12LwMb2bJ "
Negative,"সত্যি,,,,জীবনটা অন্যরকম হতে পারতো :("
Negative,পালিয়ে যাইতে চাই :'( অনেক দূর :(
Negative,গোফ দাড়ির জলাঞ্জলী দিলাম। ফিলিং - বিমর্ষ :(
Negative,এত বৃষ্টি হচ্ছে তাও গরম কাটেনা :(
Negative,প্রয়োজনে সময় কেউরে পাওয়া যায় না >:(
Negative,"পরীক্ষার জন্য প্রায় ১ মাসের জন্য ফেসবুক কে বিদায়, সবাইকে খুব মিস করব। বাট মাঝে মাঝে মোবাইলে আসা হবে :("
Negative,"ছুটির মধ্যে হরতাল এর বন্ধ পাওয়া মানে ""তেলা মাথায় তেল দেয়া!"" — feeling bored -_-"
Negative,কেন যে আমার সাথে এমন হয় বুঝি না। আল্লাহ আমাকে কোন রকম পাশ করিয়ে দাও আমি যেন next semester এ উঠতে পারি:( :(:(:(:(:(:(
Negative,এইডা আমারে কি জরে ধরিল !!!! সকালে আছে বিকেলে নাই আবার সন্ধ্যায় আছে রাত্রে নাই !!!!! জরের এই লীলাখেলার মাঝে পইরা আমি শেষ :-( :-(
Negative,"আমার বুকের মধ্যে চিন চিন ব্যাথা, কেউ তো একবার সুধায় না :( বুকের ব্যাথা বুকে নিয়ে তাই তো আমি যাইবগা"
Negative,বালের ম্যাচ সব!! >_< ভিজে গেলে আর জ্বলে না!! >:( ভরসা ম্যাচ!!আই মিস ইউ!! :( :'(
Negative,কেন এই একাকি জীবন আমার? এর রহস্য আজ বুঝতে পারি:(( আর সেটা হল পৃথিবীতে একা আসা আর একা চলে যাওয়া।
Negative,জীবন টা কেন জানি সাদাকালো মনে হচ্ছে :(
Negative,বাকশক্তি হারিয়ে মোবাইল আমার বোবা !! :( সিম পরিবর্তন নিয়ে ব্যাপক সমোলচনার ভিড়ে পুরনো সিমে ফিরতেই হচ্ছে !! হ্যাঁ... http://fb.me/KUncUUIo 
Negative,কার্টুন দেখতেছিলাম :( ধুর কারেন্ট চলে গেছে :'( http://fb.me/2SkFux36n 
Negative,চিপায় আইটকা পড়সি। লাইফ হেল। :(
Negative,ইশ এখনকার মত যদি পরীক্ষার আগে পড়তাম....... নিশ্চিদ পাশ করতাম :( #fellings - বিলিয়ান্ট .. পুরা বই ই গরুর রচনার মত পড়তাছি
Negative,সাবটুইট দেখি নাই রে ভাই :-(
Negative,"এখনও সফলতার মুখ দেখলো না আমার গোপন প্রজেক্ট টা :(( যাই হৌক,শেষ পর্যন্ত অপেক্ষা করবো।এখনও আশাহত হই নি।"
Negative,মোবাইল থেকে সফটয়্যারের ক্র্যাক নামানো চরম বিরক্তাকর। Feeling Boared . . .
Negative,সারাদিন রোমে থেকে ঘুমও হল না কোন ভালো কাজও হল না :(
Negative,Ahana সারাদিনে তোর সাথে একবারও কথা হয় নাই দোস্ত..!! মিস ইউ.....:(
Negative,দুচোখে তোমারই ছবি এঁকে যাই স্বপ্ন ভেবে সুখে তোমাকে হারাই :-( আমায় ভুলে সুখে থাকোই যত একদিন তুমিও ঠিকই কাঁদবে !
Negative,একটু আগে বাথরুমে গিয়ে দেখি একটা চেলা! ধুর... গা পুরো ঘিন ঘিন করছে। অসহনীয়। সরীসৃপ কে ঘৃণা করি :(
Negative,কারো মেসেজ এর রিপ্লাই দিতে পারতেছি না :( উইন্ডোস আবার গেছে :( সেটআপ দিইতে গেলাম :( Asif Uddin Khalifa Faisal Mahmud Mahedi
Negative,অপেক্ষার মতন কষ্টের জিনিস আর নাই :| :| :( :( :'( :'(
Negative,বোঝেনা সে বোঝেনা . . . :-(
Negative,একবারো কি আমাকে মেসেজ দেওয়া যায়না ? :( :'(
Negative,প্লীজ হেল্প :( http://fb.me/Xb1QfZ3u 
Negative,কিছুই ভাল লাগতাছে না .............. :(
Negative,বিশিষ্ট সব কুত্তা চারিদিকে >:( http://fb.me/3aiavwzYy 
Negative,এইভাবে আর না :-(
Negative,রাতজাগা পাখি ও হয়তো ঘুমিয়ে পড়েছে আর আমার থেকে ঘুম পালিয়ে বেড়াচ্ছে...... :(
Negative,মোর বন্দুয়া বিহনে গো :( সহেনা ফরানে গো 󾬎 একেলা ঘরেতে রইতে না ফারি :( 󾌹 - 󾇌 󾭝 󾭝
Negative,আম্মু আমার হরতালটা কোথায় রেখেছো? খুঁজে পাচ্ছিনা কেন? :-(
Negative,সে যে কেন আসে না কিছু ভাল লাগে না .... :( -- কারেন্ট এর কথা বলতেছি !!!
Negative,কেঁচো দেখলেই আমার গা ঘিনঘিন করে উঠে.... অথচ কাল এটা ব্যবচ্ছেদ করব এটা ভাবতেই কেমন লাগছে :(
Negative,"আর পারিনা আর পারিনা আমার ভীষন ক্লান্তি লাগে, আর জমেনা আর জমেনা রংগিন স্বপ্ন মনের কোণে :("
Negative,একটা মশারির প্রয়োজন অনুভব করছি :(
Negative,আবারও তুমিহীন....আমি যে ছন্দহীন :-(
Negative,আমার প্রিয় মোবাইলটা গেলরে! :-( আর নিয়মিত বাংলায় পোষ্ট দিতে পারবোনা! ফেসবুকও নিয়মিত চালাতে পারবোনা! :-(
Negative,"বড় কষ্টে আছি...:( সকাল থেকেই বাসায় পানি নাই... পানির মটর নষ্ট, টাংকিতেও পানি নাই..."
Negative,দিন ভর ফেইসবুক আর টুইটার আর ভালো লাগেনারে পাগলা.:(
Negative,আজ আমি ভাল নই Today I am not happy......
Negative,খুব খারাপ লাগলো man city ও man utd দুই দল ই হারলো
Negative,আর পারছিনা গুরু সেই নার্সারী থেকে শুরু :( http://fb.me/2jnS3dX0Q 
Negative,"@idevadhikari একটা কথা জানেন...আপনাকে টুইট করা আর একটা গাছকে টুইট করা এক কথা! দেখেন ও না,রিপ্লাই ও করেন না! তবুও যে কেনো করি! :("
Negative,বৃষ্টি পরের কিন্তু আই ভিজির ন পারির :(((
Negative,হুরর আজকে ঘরে কিচ্ছু নাই...... KitKat খেয়ে একটু ক্ষুধা কমাইতে চাইলাম কিন্তু উল্টা ক্ষুধা আরও বেশি লাইগা গেল >:(
Negative,শিট!!! ফেসবুকে ঢুকলে ৫ সেকেন্ডের ভিডিও এড দেখতে হবে !!! :(
Negative,কিছু সংখ্যক নিদিষ্ট মানুষ (নারী জাতি) ছাড়া নারী জাতির প্রতি ঘৃনা আরো একধাপ বেড়ে গেল! :(
Negative,ফেবুটা আবার ডিএক্টিভেট করবো ভাবছি। ভার্চুয়াল আর ভালো লাগেনা। কেন? জানিনা :(
Negative,স্বপ্ন ভাঙ্গার শব্দ বিকট হয় :( :( :(
Negative,খুব বেশি খারাপ লাগতেসে #শৈলজ কে বিদায় জানাইতে :(
Negative,বন্ধুরা সব Graduate হইয়া যাইতাছে। আর আমি ইন্টার পাশ ই থাইকা গেলাম। বড়ই দু:খের বিষয়... :(
Negative,ভারতের সীমান্ত রক্ষীদের উপরে যে কেমন ঘৃনা জন্মেছে তা ভাষায় প্রকাশ করা সম্ভব না :(
Negative,মাথা নষ্ট :( এত চাপ একসাথে ক্যামনে নিব?? :( সালার ক্লায়েন্ট গুলা সব একসাথে মরতাছে আর আমারে মারতাছে :( দুয়া কইরেন... http://fb.me/KcadamC5 
Negative,আজকের দিনটা স্কুলের শেষ দিন ছিলো .. স্কুল জীবন টা শেষ হওয়ার কস্ট এখন ভুযতেসি :( সারাটা জীবন ভাবতাম স্কুল টা... http://fb.me/P2z56Oj2 
Negative,মাঝে মাঝে মনে হয় পৃথিবীতে কেউ কারো নয়। সময়ের প্রয়োজনে সবাই কাছে আসে আবার সময়ের ব্যাবধানে দূরে চলে যায়।. :( ~Shunno Akasher Ghuri~
Negative,লাইফ সাপোর্ট দিয়াও কোন কাজ হচ্ছে না :( :( :( :( :( :( দেড় বছরের সম্পর্কের ইতি টানতে হবে এখানেই... গুড বাই... http://fb.me/6teviCepO 
Negative,আসলে পৃথিবীতে আপন বলতে কেউ নেই ।
Negative,হেতের কোনো কারনে আমার চাইতে ভাল রেজাল্ট হইলে ভাবী মাইরে ফেলবো আম্রে সিউর :S
Negative,মাথা ব্যাথা... :(
Negative,Disappointment is: বিয়ের সর্বনিন্ম বয়স নির্ধারন করে দেয়া হলেও সর্বোচ্চ বয়স নির্ধারন করে না দেয়া। :(
Negative,আমার প্রিয় মোবাইলটা গেলরে! :-( আর নিয়মিত বাংলায় পোষ্ট দিতে পারবোনা! ফেসবুকও নিয়মিত চালাতে পারবোনা! :-(
Negative,"মানিব্যাগে অবশেষে আর ২ টাকা বাকি রইল!!! হে আল্লাহ!!! হয় দেখা দে, নইলে এক বস্তা টাকা দে...। #feeling চুতিয়া :("
Negative,অনেক দিন বোম্বাস্টিং খেলি না :( :( ।
Negative,কি করে তোকে বলবো তুই কে আমার আয়না সাথে চলবো সব পারাপার মনেরি আসকারাতে তোর কাছে এলাম হারিয়ে গেলাম :(
Negative,নীলক্ষেত গেলে মাথা ঠিক থাকে না >:(
Negative,বিরুক্তি কর সব কিছু :-(:-(:-(:-(:-(:-(:-(:-(
Negative,বেটা বদমাইশ !!!! >:( http://fb.me/1pY9Ot7KD 
Negative,আমি আর খেলব না। :(
Negative,জীবন টা কেন জানি সাদাকালো মনে হচ্ছে :(
Negative,"বৃষ্টি হচ্ছে প্রচুর , ভিজতে ইচ্ছা হচ্ছে কিন্তু :("
Negative,নিজেই দেখি জ্বর বাধায়ে ফেললাম :(
Negative,কাছের মানুষগুলো আজ খুব ব্যস্ত :/ কারও সময় নেই :(
Negative,অনেক কাজ থাকা সত্ব্যেও যখন ঘুমুতে ইচ্ছে করবে তখন বুঝতে হবে কাজে মন নেই :( আমি শেষ... মহা অলস হয়ে গিয়েছি।
Negative,#SadnessIs সত্যি কইলাম বন্ধুগণ সবাই বিয়া কইরালাইতাছে মনে হয় শুধু আমি ই বাকি :(
Negative,বাংলা লায়ন একটা বাল... >:( আজকের রোমান্টিক ওয়েদার এ মুখটা খারাপ করাইল... >:(
Negative,জ্বর :-( :'(
Negative,ইসসস...!!!!!!! বাংলাদেশ যদি আরেকটু আগে থেকে ঝড়ো ব্যাটিং শুরু করতো (ঠিক যেমন এখন চলতেছে)............. #আফসোস :(
Negative,ইশ সোধী নামের দাঁড়কাকটার এভারেজ রান বাড়িয়ে দেয়া ছাড়া আর কোন সুখকর ব্যাপার এই টেষ্ট থেকে আশা করা গেলো না! :(
Negative,ধুর নিরামিষ ব্যাটিং :((
Negative,হারলেও দু:খ নাই কিন্তু ড্রয়ের জন্য খেলিস না ... :( পিডা ... ...
Negative,:( :( গাজী হ্যাট্রিক করলো আর আমি দেখতে পারলাম না। :/
Negative,মাইনষের জন্যি নতুন নতুন ফেসবুক আইডি খুলতে খুলতে আমি ক্লান্ত :( ... মানুষ ক্যামনে পারে ? আমি একটা আইডি চালাইতেই...
Negative,বি এন পি গুড বাই লুটপাট ভুলি নাই >:( http://fb.me/1pLWsjtsz 
Negative,সকা-ল সকাল ঘুম থেকে উঠতে না উঠতেই মায়ের ঝারি :-( সারাদিন বাসায় থাকলে বুঝা যায় ... বাসায় কত্তো কাজ ....
Negative,কাল ঠান্ডা লাগছে সাথে জ্বর :( এই অবস্থায় ছুটির মধ্যেও অফিস যাচ্ছি
Negative,কষ্ট মনে হয় জীবনের একটা অংশ কষ্ট ছাড়া জীবনের পুর্ণতা পায় না :/ কষ্ট পেলেই বুঝা যায় জীবন বলে কিছু আছে :(
Negative,"ঘুম,গেমস আর মুভি এর জন্য নিয়মিত টুইটার এ আসতে পারতাসি না :("
Negative,আমাকে ভুল বোঝা হতছে.. pls pls pls.....miss interpret me...:( :(
Negative,মশার কামড়ে ঘুম ভেঙ্গে গেল। তাকাতে পারছিনা ঘুমে। তবু শালার মশা আমার সাথ ছাড়ে না :(
Negative,শেষ মেষ আইডিটারে আর টিকাইতে পারতেছিনা :( অনেক টা যুদ্ধ করে ফেবুতে আসতে হচ্ছে :( আমার থেকে আরও বড় বদ হচ্ছে আমার...
Negative,হুদাই কষ্ট করলাম এতক্ষন। ঃ//
Negative,হিংসা হইতেসে ..... >:(
Negative,জ্বর - মাথাব্যথা - ক্লান্তি । আমি নি আর বাঁচি না ?? :(
Negative,"অনেক দেখলাম, বুঝলাম এই পৃথিবীতে আমাকে বোঝার মতো কেউ নেই। আফসোস :("
Negative,বন্ধুরা মনটা ভালনা.... কেন যেন খুব কষ্ট হচ্ছে!!! :(
Negative,অবস্থা খুব একটা ভাল না । কিছুদিন পর হয়তো দেখা যাবে আমিও স্টার জলসার সামনে বসে যাব । :( কারন আর কিছুই করার নাই ।...
Negative,স্যরি :( আর কখনো তোমার কথার অবাধ্য হবো না :(
Negative,আমাকে কেউ লাইক দেয় না :( http://fb.me/ZyL8Syw7 
Negative,মানুষের উপকার করতে গিয়েই এই পর্যন্ত সবচেয়ে বেশী কষ্ট পাইছি :( ... শালা'র বন্ধু হইয়া ও যদি পকেট কাটতে আসে :'(
Negative,খিদা লাগছে ... কিন্তু কিচ্ছু রান্দেনাই এখনো ... :(
Negative,মন ভালো নাই তাই বন্ধুদের সবার প্রো পিক গুলা দেখতাছি :(
Negative,হেড ফোন আর নেট এমন টাইমেই বাশ খায় যখিন আমার হাতে টাকা থাকে না :(
Negative,with কেউতো নাই....তাই একা একাই দেখি....:(
Negative,Agartala তে বৃষ্টি আর কি করে পুজাতে বের হবো । আমার তো ভালো লগছে না..... :-(
Negative,বৃষ্টি শেষ হয়ে মনে হয় আবার আসবে :( খেলা আজ আর হচ্ছে না :'(
Negative,মাশরাফি বিন মুর্তজাকে মিস করতেসি :(
Negative,এই টাইমে মুশির এইরকম ভুল :(
Negative,ইন্টারনেট না থাকা আর লোডশেডিং-এর মইদ্দে তফাৎ কি? গাজীর সেঞ্চুরি দেখা মিস হইয়া গেলো...:(
Negative,গেলাম গ্যা আমার ঝিম ধর্ছে।ঘুমানো দর্কার।সারা রাত ঘুমাইনাই :(
Negative,বিরুক্তি কর সব কিছু :-(:-(:-(:-(:-(:-(:-(:-(
Negative,"নিজের স্বার্থে মানুষ বন্ধু হয়, নিজের স্বার্থে মানুষ শত্রু হয়, আসলে স্বার্থ ছাড়া কিছুই নাই এই পৃথিবীতে।"
Negative,শুনেছি আমাকে ছেড়ে যাবার পর তুমি খুবই কষ্টে আছো । আমি কিন্তু কষ্টে নেই - শুধু তোমার মুখের ছায়া কেঁপে উঠলে বুক...
Negative,ইদানীং অদ্ভুত সব চিন্তা ভাবনা আমার মনের সমুদ্রে হাবুডুবু খাচ্ছে! :(
Negative,কাইল কাম আছে মেলা। ঃ//
Negative,গত তিন সপ্তাহ ধরে কেন যেন কিছুই ভাল লাগছে না...না ঘর না বাহির..কিছুই না...নিজের পৃথিবী নিজের কাছে আজ বড় অচেনা!!!পৃথিবীর সব দুখ আজ আমার...
Negative,আজ কত্ত বছর হয়ে গেল... কুরবানি ঈদ এর দিনে সবার সাথে বসে মাংস কাটি না :((
Negative,গরম পানি পড়ে পেট এর দফারফা হয়ে গেলো :( এ ডরেই কাম থেইক্কা লুকায়া বাঁচবার চাই কিন্তু তা ও হয়ে উঠেনা :/
Negative,এইগুলার মানে কি :O কোন দুঃখে যে ফোনবুকের সব গুলারে ইনভাইট দিসিলাম :( http://fb.me/2wgTVFaEQ 
Negative,আমায় কেও দাওয়াত দিলো না...? :(
Negative,এইবার মোবাইলে ম্যাসেজ আসে না :( :( কারণ নিউ সিম..... আছি বড়ই বিরক্তিকর পরিবেশে.... প্রতিদিনই মাথা ব্যথা। আজব...
Negative,হে খোদা আমার খোদা কোথায় আছো লুকিয়ে তুমি খোদা।:(
Negative,মোবাইলে টাকা নাইক্কা কাউকে এসএমএস আর কল দিতে পারলামনা বলে দুঃখিত! :(
Negative,বাঁইচা থাইকা আর করমুই বা কি! :( এরম এক্সপার্ট তো জেবনেও হইতারমুনা :( তারচেয়ে গলায় লুঙ্গি পেচায়া মইরা যাই :|
Negative,বৃষ্টিতে ৫ঘন্টা ভিজে মাথা তো ব্যাথায় ফাটতেসে :(
Negative,"যতই হাসি, যতই কাঁদি, সবই অর্থহীন :( :( :("
Negative,"একজনের জন্মদিন,,,wish করতে মন চায় :( কিন্তু করা ঠিক হবে না :|"
Negative,একজনের রাগ আরেকজনের উপর ঝাড়লাম...কাজটা একদমই ঠিক হয় নাই :/ Im sorry :(
Negative,সবাই ঈদ মোবারক স্টাটাস দেয়া নিয়ে ব্যাস্ত । কেউ কেউ তাদের গরুর ছাগলের ছবি আপলোডাইতেছে :( আমি কি করমু বুঝতেছিনা।...
Negative,তুমি আমায় করেছ অপমান.আমি জানায় তুমাকে ফিরে আসার আহবান. সপ্নহীন হয়ে আমি বাচতে চাই না.১বার বলনা:-(:-(:-(:-(:-(:-(
Negative,"আচ্ছা, আমি মেয়েদের বিশ্বাস করতে পারি না কেনো? ? plz help me... :("
Negative,বয়স যত বাড়তেছে আনন্দ তত কমতেছে ...... :-(
Negative,আমাদের বাবা মা এর সাথে যেন এমন না হই............:( http://fb.me/Rgh4GENO 
Negative,শরীরটা অনেক ব্যাথা :( বৃষ্টির মধ্যে পাকা উঠানে টেনিস বলে ফুটবল খেলতে গিয়ে সেকি উসঠা খাইলাম রে... ওই Shamrat...
Negative,গরধব টা ঠিক করে কিচ্ছু বলে ও যায় নাই... এখন পড়াতে মন বসবে কিনা কে জানে :((
Negative,মনে হচ্ছে এবারের ইদের আনন্দ বৃষ্টির জলে ভেসে যাবে :-(
Negative,ফটকা পটকা ফুটাইতে পারতেছি না :'( শুধু চেয়ে চেয়ে দেখি :( আব্বু না থাকলে যা হয় আর কি :'( আবার কবে যে আব্বু'র সাথে ঈদ করবো :/ ডোন্ট নোও!!!
Negative,বিজ্ঞাপনের চাপে TV তে যে কি দেখছিলাম ভুলেই গেলাম। :(
Negative,বের হতে নিলাম আর বৃষ্টি শুরু! :(
Negative,একটু মন খারাপ.... :( পুজো শেষ তাই
Negative,কোন খেয়ালেই নাই কালকে যে ঈদ :(
Negative,অন্তত্য পক্ষে এই কথা গুলো আশা করি নাই আমি :(
Negative,পিচ্চি পিচ্চি পোলাপাইন মাঝে মাঝে এত #confused করে দেয় কেন? ??? o_O #feeling_দিন_পালটায়_গ্যাছে
Negative,মন কতটা খারাপ থাকলে কান্না আসি আসি করেও দূরে পালায়? কতটা? Feeling Cry
Negative,সে যে সত৽ই চলে গেছে তা অনুভব করছি ... Feeling alone
Negative,এক নোটিফিকেশন চৌদ্দ বার আসে নাকি পোলাপান এক ছবি চৌদ্দ বার আপলোড দেয় বুঝি না feeling #হতভম্ব
Negative,Just feeling অসহ্য
Negative,Feeling #Upset শুভ বিজয়া দশমী ।। @subhashreesotwe http://fb.me/17KQIiYYj 
Negative,পাতোর মিস. . . . :-( [ J.A ]
Negative,বিদায় :(
Negative,তারপর আমার অনাকাঙ্খিত প্রস্থান! :(
